,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
14612,14612,214611,Ziyin,Zhu,U,19981112.0,CAN,,,2014-06-16,2014-06-16
14613,14613,214612,Alli,Hodges,U,19961203.0,USA,,,2014-06-16,2014-06-16
14614,14614,214613,Iesha,Shepherd,U,19990228.0,BAH,,,2016-10-17,2016-10-31
14615,14615,214614,Sharon,Pesch,U,19970323.0,LUX,,Q27332225,2014-09-15,2016-09-12
14616,14616,214615,Khanh Phi,Huynh,U,19941210.0,VIE,,,,
14617,14617,214616,Medhira,Samarasinghe,U,19990203.0,SRI,,,,
14618,14618,214617,Nethmi Himashi,Waduge,U,19980810.0,SRI,,,2017-10-02,2017-10-16
14619,14619,214618,Halla,Alajeely,U,19990410.0,IRQ,,,,
14620,14620,214619,Ghada,Alajeely,U,19980108.0,IRQ,,,,
14621,14621,214620,Sahar,Amini Hajibashi,U,19880525.0,IRI,,,,
14622,14622,214621,Sadaf,Sadeghvaziri,U,19990726.0,IRI,,,,
14623,14623,214622,Ani,Safaryan,U,19980310.0,ARM,,Q106351436,,
14624,14624,214623,Lusine,Chobanyan,U,19980418.0,ARM,,Q106351669,,
14625,14625,214624,Anastasia,Detiuc,U,19981214.0,MDA,,Q25350188,2015-08-10,2022-04-18
14626,14626,214625,Eliza,Omirou,U,19990825.0,CYP,,,,
14627,14627,214626,Ida Seljevoll,Skancke,U,19971102.0,NOR,,,,
14628,14628,214627,Jane,Fennelly,U,19941130.0,IRL,,,,
14629,14629,214628,Katrina,Sammut,U,19990923.0,MLT,,,,
14630,14630,214629,Anna Soffia,Gronholm,U,19990607.0,ISL,,,,
14631,14631,214630,Hjordis Rosa,Gudmundsdottir,U,19980706.0,ISL,,,2024-04-29,2024-04-29
14632,14632,214631,Hera,Brynjarsdottir,U,19971121.0,ISL,,,,
14633,14633,214632,Ghazal,Pakbaten,U,19980904.0,IRI,,,,
14634,14634,214633,Andria,Tsaggaridou,U,19970222.0,CYP,,,,
14635,14635,214634,Camila,Ramazzini,U,19970224.0,GUA,,,,
14636,14636,214635,Karla,Contreras,U,19990123.0,PAN,,,,
14637,14637,214636,Daniela,Diez,U,19970422.0,PAN,,,,
14638,14638,214637,Kiana,Marshall,U,19971014.0,BAR,,,,
14639,14639,214638,Melena,Lopez,U,19960726.0,BAR,,,,
14640,14640,214639,Ancia,Ifill,U,19931115.0,BAR,,,,
14641,14641,214640,Tyler,Smith,U,19961118.0,BER,,,,
14642,14642,214641,Ariana,Rahmanparast,U,19961229.0,CRC,,,,
14643,14643,214642,Cayla,Cross,U,19911008.0,BER,,,,
14644,14644,214643,Liudmila,Samsonova,R,19981111.0,RUS,180.0,Q26416429,2014-06-23,2022-02-14
14645,14645,214644,Arina,Taluenko,U,19990110.0,KAZ,,,2014-06-30,2018-07-09
14646,14646,214645,Anastasiya,Shleptsova,R,19960629.0,BLR,,,2015-05-11,2016-09-26
14647,14647,214646,Xiaodi,You,U,19960512.0,CHN,,Q15634509,2014-12-15,2024-10-28
14648,14648,214647,Mingyang,Liu,U,19940717.0,CHN,,,2018-12-10,2019-10-14
14649,14649,214648,Claudia,Wiktorin,U,19961206.0,USA,,,2014-10-20,2014-06-23
14650,14650,214649,Brooke,Broda,U,19951010.0,USA,,,2014-06-23,2014-06-23
14651,14651,214650,Nastja,Rettich,U,19990211.0,GER,,,2014-06-23,2014-06-23
14652,14652,214651,Andrada Ioana,Surdeanu,R,19980101.0,ROU,,,2014-10-06,2014-06-23
14653,14653,214652,Marina,Cozac,U,19981123.0,USA,,,2014-06-23,2014-06-23
14654,14654,214653,Andreea,Prisacariu,U,20000209.0,ROU,,Q106367233,2014-07-07,2024-07-29
14655,14655,214654,Anna,Turati,U,19970617.0,ITA,,Q66499250,2014-07-21,2024-02-12
14656,14656,214655,Aleksandra,Stosic,U,19970429.0,SRB,,,2018-05-28,2018-05-28
