,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
62638,62638,210354,Carlos,Collazos,U,20030223.0,BOL,,,2021-11-15,2021-11-15
62639,62639,210355,Santiago,Navarro,U,20031122.0,BOL,,,2021-11-15,2022-03-21
62640,62640,210356,Andres,Urquiola Montellano,U,20040317.0,BOL,,,2021-11-15,2021-11-15
62641,62641,210357,Francisco,Faigenbaum,R,20011230.0,ARG,183.0,,2021-11-15,2023-07-03
62642,62642,210358,Sergio Alejandro,Gonzalez Ibanez,U,20030929.0,COL,,,2021-11-15,2021-11-15
62643,62643,210359,Frazier ,Rengifo ,U,19990119.0,COL,,,2021-11-15,2021-11-15
62644,62644,210360,Oscar Fernando,Trujillo Hernandez,U,20040515.0,COL,,,2021-11-15,2021-11-15
62645,62645,210361,Felipe,Pinzon Moreno,U,20040813.0,USA,,,2021-11-15,2023-10-02
62646,62646,210362,Nicolas,Cortes Campos,U,20020624.0,COL,,,2021-11-15,2022-07-04
62647,62647,210363,Duvan Santiago,Torres Villamil,U,20041031.0,COL,,,2021-11-15,2021-11-15
62648,62648,210364,Mateo,Castañeda ,U,20060111.0,COL,,,2021-11-15,2021-11-15
62649,62649,210365,Ondrej,Valek,U,20031113.0,CZE,,,2021-11-15,2021-11-15
62650,62650,210366,Carlos,Gimenez Perez,U,20031015.0,ESP,,,2021-11-15,2024-12-02
62651,62651,210367,Xavi,Calduch ,U,20041007.0,ESP,,,2021-11-15,2021-11-15
62652,62652,210368,Danilo,Ilic,U,20020315.0,SRB,,,2021-11-15,2022-09-19
62653,62653,210369,Constantin ,Frantzen,U,19980316.0,GER,,,2022-02-14,2022-03-14
62654,62654,210370,James,Tracy,R,20020710.0,USA,180.0,,2021-11-15,2024-07-01
62655,62655,210371,Andrew,Lutschaunig,U,20000131.0,USA,,,2021-11-15,2022-11-14
62656,62656,210372,Reece ,Yakubov,U,20030420.0,USA,,,2021-11-15,2022-11-14
62657,62657,210373,Niroop,Vallabhaneni,U,20020528.0,USA,,,2021-11-15,2021-11-15
62658,62658,210374,Carson,Gates,U,20001201.0,USA,,,2021-11-15,2021-11-15
62659,62659,210375,Matthew,Che,U,20010701.0,USA,,,2021-11-15,2022-06-20
62660,62660,210376,Max ,Sheldon,U,20030516.0,USA,,,2022-11-14,2024-07-15
62661,62661,210377,Luciano Emanuel,Ambrogi,R,20031119.0,ARG,188.0,,2022-10-31,2024-11-18
62662,62662,210378,Federico,Mirgone,U,20001102.0,ARG,,,2021-12-06,2021-12-06
62663,62663,210379,Mateo ,Labuckas,U,19980111.0,ARG,,,2021-11-22,2023-02-20
62664,62664,210380,Lukas,Velik,U,20050617.0,CZE,,,2021-11-22,2022-05-02
62665,62665,210381,Vojtech,Petr,R,20050315.0,CZE,,,2022-04-18,2023-02-06
62666,62666,210382,Maximus,Jones,R,20040905.0,THA,185.0,,2021-11-22,2024-09-02
62667,62667,210383,Kris Alessandro,Hernandez Mariona,U,20000911.0,GUA,,,2021-11-22,2024-11-04
62668,62668,210384,Marcos,Castellanos,U,20050814.0,GTM,,,2021-11-22,2021-11-22
62669,62669,210385,Jose Mario,Marquez,U,20040517.0,MEX,,,2021-11-22,2021-11-22
62670,62670,210386,Rafael,Botran Neutze,U,20060322.0,GTM,,,2021-11-22,2024-11-04
62671,62671,210387,Stefan,Simeunovic,R,20040529.0,CAN,188.0,,2021-11-22,2022-08-22
62672,62672,210388,Kaeri,Hernandez Mariona,U,20030206.0,GUA,,,2024-11-11,2024-11-11
62673,62673,210389,Toby,Samuel,R,20020906.0,GBR,191.0,,2021-11-22,2024-09-09
